web-scraper-order,web-scraper-start-url,name,name-href,category
1533209310-445,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Endo-Bier The Dark Side of the Beer,https://www.ratebeer.com/beer/endo-bier-the-dark-side-of-the-beer/491311/,Eisbock
1533209310-448,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,das IPA,https://www.ratebeer.com/beer/kornhausbrau-das-ipa/368575/,India Pale Ale (IPA)
1533209310-449,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,das Schwarze,https://www.ratebeer.com/beer/kornhausbrau-das-schwarze/118464/,Schwarzbier
1533209310-456,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Weihnachtsbier,https://www.ratebeer.com/beer/kornhausbrau-weihnachtsbier/145127/,Dunkel/Tmavý
1533209310-455,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Märzen,https://www.ratebeer.com/beer/kornhausbrau-marzen/172527/,Oktoberfest/Märzen
1533209310-446,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,das Dunkle,https://www.ratebeer.com/beer/kornhausbrau-das-dunkle/83723/,Altbier
1533209310-453,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Honigbier,https://www.ratebeer.com/beer/kornhausbrau-honigbier/121840/,Spice/Herb/Vegetable
1533209310-443,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Endo-Bier Citrus Farmhouse Ale,https://www.ratebeer.com/beer/endo-bier-citrus-farmhouse-ale/463465/,Saison
1533209310-458,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Wolfsmilch,https://www.ratebeer.com/beer/kornhausbrau-wolfsmilch/394094/,Dunkler Bock
1533209310-450,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,der Frühling,https://www.ratebeer.com/beer/kornhausbrau-der-fruhling/369726/,Pilsener
1533209310-457,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Winter,https://www.ratebeer.com/beer/kornhausbrau-winter/305615/,Amber Lager/Vienna
1533209310-447,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,das Helle,https://www.ratebeer.com/beer/kornhausbrau-das-helle/83722/,Dortmunder/Helles
1533209310-452,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Frühlingsbier,https://www.ratebeer.com/beer/kornhausbrau-fruhlingsbier/121841/,Oktoberfest/Märzen
1533209310-451,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,der Herbst,https://www.ratebeer.com/beer/kornhausbrau-der-herbst/323937/,Fruit Beer
1533209310-454,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Lakritz-Porter,https://www.ratebeer.com/beer/kornhausbrau-lakritz-porter/211591/,Porter
1533209310-444,https://www.ratebeer.com/brewers/locher-appenzeller-bier/9274/,Endo-Bier Rhubarb Saison,https://www.ratebeer.com/beer/endo-bier-rhubarb-saison/512186/,Saison
