web-scraper-order,web-scraper-start-url,name,name-href,category
1533200757-249,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,IPA Indian Pale Ale,https://www.ratebeer.com/beer/locher-ipa-indian-pale-ale/380506/,India Pale Ale (IPA)
1533200757-250,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Karbacher Köhler-Bier,https://www.ratebeer.com/beer/locher-karbacher-kohler-bier/30108/,Oktoberfest/Märzen
1533200757-268,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Swiss Mountain,https://www.ratebeer.com/beer/locher-swiss-mountain/15585/,Dortmunder/Helles
1533200757-237,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Coop Bio Alkoholfrei,https://www.ratebeer.com/beer/locher-coop-bio-alkoholfrei/46286/,Low Alcohol
1533200757-230,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Balik Beer,https://www.ratebeer.com/beer/locher-balik-beer/22948/,Baltic Porter
1533200757-225,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Gässli-Bräu Gässli-Gold,https://www.ratebeer.com/beer/gassli-brau-gassli-gold/506642/,Pale Lager
1533200757-253,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Lager Hell,https://www.ratebeer.com/beer/locher-lager-hell/14872/,Pale Lager
1533200757-257,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Mielfiore,https://www.ratebeer.com/beer/locher-mielfiore/307511/,Spice/Herb/Vegetable
1533200757-242,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Glühbier,https://www.ratebeer.com/beer/locher-gluhbier/298340/,Spice/Herb/Vegetable
1533200757-274,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Wyssestei Bier,https://www.ratebeer.com/beer/locher-wyssestei-bier/364812/,Premium Lager
1533200757-267,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Sonnwendlig,https://www.ratebeer.com/beer/locher-sonnwendlig/30185/,Low Alcohol
1533200757-243,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Gran Alpin Amber,https://www.ratebeer.com/beer/locher-gran-alpin-amber/465403/,Amber Lager/Vienna
1533200757-260,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ninkasi Kombucha,https://www.ratebeer.com/beer/locher-ninkasi-kombucha/58409/,Low Alcohol
1533200757-222,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Egger Nuller,https://www.ratebeer.com/beer/egger-nuller/212772/,Low Alcohol
1533200757-265,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Schnuggebock Bier,https://www.ratebeer.com/beer/locher-schnuggebock-bier/86421/,Spice/Herb/Vegetable
1533200757-248,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Holzfass-Bier,https://www.ratebeer.com/beer/locher-holzfass-bier/6526/,Amber Lager/Vienna
1533200757-245,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Hangl's Schmugglerbier,https://www.ratebeer.com/beer/locher-hangl39s-schmugglerbier/201354/,Premium Lager
1533200757-244,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Hanfblüte,https://www.ratebeer.com/beer/locher-hanfblute/6523/,Spice/Herb/Vegetable
1533200757-234,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Brand Löscher,https://www.ratebeer.com/beer/locher-brand-loscher/139597/,Amber Lager/Vienna
1533200757-224,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Em Basler sy Bier Basler Bier,https://www.ratebeer.com/beer/em-basler-sy-bier-basler-bier/103446/,Pale Lager
1533200757-213,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ackermann Häxli Weizen,https://www.ratebeer.com/beer/ackermann-haxli-weizen/121853/,German Hefeweizen
1533200757-226,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Johanniter Komturei Bier Amber,https://www.ratebeer.com/beer/johanniter-komturei-bier-amber/202028/,Amber Lager/Vienna
