web-scraper-order,web-scraper-start-url,name,name-href,category
1533208286-439,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Vadian Pale Ale,https://www.ratebeer.com/beer/schutzengarten-vadian-pale-ale/590391/,American Pale Ale
1533208286-416,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Löwengarten Lager Hell,https://www.ratebeer.com/beer/lowengarten-lager-hell/9233/,Pale Lager
1533208286-423,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Edelspez Premium,https://www.ratebeer.com/beer/schutzengarten-edelspez-premium/6546/,Dortmunder/Helles
1533208286-431,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Schwarzer Bär Dunkelbier,https://www.ratebeer.com/beer/schutzengarten-schwarzer-bar-dunkelbier/53167/,Dunkel/Tmavý
1533208286-435,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,St. Galler Klosterbräu,https://www.ratebeer.com/beer/schutzengarten-st-galler-klosterbrau/6544/,Zwickel/Keller/Landbier
1533208286-417,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Löwengarten Löwen Prinz,https://www.ratebeer.com/beer/lowengarten-lowen-prinz/8003/,Pilsener
1533208286-425,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Fiesta Cerveza,https://www.ratebeer.com/beer/schutzengarten-fiesta-cerveza/30199/,Pale Lager
1533208286-436,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,St. Galler Landbier,https://www.ratebeer.com/beer/schutzengarten-st-galler-landbier/14871/,Zwickel/Keller/Landbier
1533208286-420,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Billwiller First Class Premium,https://www.ratebeer.com/beer/schutzengarten-billwiller-first-class-premium/6545/,Pilsener
1533208286-419,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Alte St. Galler Biere - Wiener,https://www.ratebeer.com/beer/schutzengarten-alte-st-galler-biere-wiener/480010/,Specialty Grain
1533208286-422,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,"Edelspez Leicht (2,8)",https://www.ratebeer.com/beer/schutzengarten-edelspez-leicht-28/6692/,Low Alcohol
1533208286-418,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Löwengarten Turn,https://www.ratebeer.com/beer/lowengarten-turn/9526/,Spice/Herb/Vegetable
1533208286-430,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Panaché Zitrone & Edelweiss,https://www.ratebeer.com/beer/schutzengarten-panache-zitrone-edelweiss/339752/,Radler/Shandy
1533208286-428,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,India Pale Ale,https://www.ratebeer.com/beer/schutzengarten-india-pale-ale/432525/,India Pale Ale (IPA)
1533208286-442,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,VOLG Lager-Bier,https://www.ratebeer.com/beer/volg-lager-bier/62553/,Pale Lager
1533208286-424,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Festbier,https://www.ratebeer.com/beer/schutzengarten-festbier/6693/,Oktoberfest/Märzen
1533208286-433,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Schützengold Alkoholfrei,https://www.ratebeer.com/beer/schutzengarten-schutzengold-alkoholfrei/30197/,Low Alcohol
1533208286-438,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Säntisbier,https://www.ratebeer.com/beer/schutzengarten-santisbier/124523/,Zwickel/Keller/Landbier
1533208286-421,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Edelspez Dunkel,https://www.ratebeer.com/beer/schutzengarten-edelspez-dunkel/6547/,Dunkel/Tmavý
1533208286-441,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Weisser Engel,https://www.ratebeer.com/beer/schutzengarten-weisser-engel/106266/,German Hefeweizen
1533208286-427,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Helvetia,https://www.ratebeer.com/beer/schutzengarten-helvetia/34994/,Dortmunder/Helles
1533208286-437,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Swiss Stout,https://www.ratebeer.com/beer/schutzengarten-swiss-stout/460847/,Sweet Stout
1533208286-426,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Gallus 612,https://www.ratebeer.com/beer/schutzengarten-gallus-612/175113/,Traditional Ale
1533208286-432,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Schwinger Bier,https://www.ratebeer.com/beer/schutzengarten-schwinger-bier/229927/,Pale Lager
1533208286-429,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Lagerbier Hell,https://www.ratebeer.com/beer/schutzengarten-lagerbier-hell/6543/,Premium Lager
1533208286-440,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Vambier,https://www.ratebeer.com/beer/schutzengarten-vambier/6548/,Pale Lager
1533208286-434,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1126/,Seebueb,https://www.ratebeer.com/beer/schutzengarten-seebueb/364792/,Pale Lager
